Store_Name,Longitude,Latitude,Address,Address Line #2,City,State,Zip5,Zip4,County
"Hebeeb Deli Grocery Corp",-73.89537,40.846561,"541 E Tremont Ave","","Bronx","NY","10457","4627","BRONX" 
"JONNY 5 INCORPORATED",-76.148834,43.064865,"1012 Park St","","Syracuse","NY","13208","2728","ONONDAGA" 
"HAIFA FOOD FRT & VEG MKT, INC",-73.974396,40.67989,"263 Flatbush Ave","","Brooklyn","NY","11217","2489","KINGS" 
"Amer Grocery Deli Inc.",-74.084198,40.615585,"425 Vanderbilt Ave","","Staten Island","NY","10304","3573","RICHMOND" 
"Trader Joes 558",-73.9925,40.689625,"130 Court St","","Brooklyn","NY","11201","6209","KINGS" 
"WALMART SUPERCENTER 3329",-75.028091,44.664871,"7494 US Highway 11","","Potsdam","NY","13676","3577","ST LAWRENCE" 
"Family Drug Store Corp",-73.863747,40.864433,"2550F Boston Rd","","Bronx","NY","10467","9004","BRONX" 
"Villa Riva Deli & Grocery",-73.926682,40.860947,"120 Nagle Ave","","New York","NY","10040","1401","NEW YORK" 
"Linden & Wilson Corp",-73.916969,40.695694,"338 Wilson Ave","","Brooklyn","NY","11221","4717","KINGS" 
"F G W J FOOD CORP/ASSOCIATED",-73.982101,40.731377,"409 E 14th St","","New York","NY","10009","2700","NEW YORK" 
"Mega Mini Mart Inc",-73.772118,40.668659,"14412 Guy r Brewer Blvd","","Jamaica","NY","11434","4410","QUEENS" 
"Kim & Oh Grocery Inc",-74.007179,40.620564,"7416 13th Ave","","Brooklyn","NY","11228","2021","KINGS" 
"JSR Deli Inc",-73.8564,40.848003,"994 Morris Park Ave","","Bronx","NY","10462","3714","BRONX" 
"Kelvin Food Corp",-73.867607,40.752396,"9914 37th Ave","","Corona","NY","11368","1841","QUEENS" 
"Lotto Plus Corporation",-73.886307,40.946869,"139 Lake Ave","","Yonkers","NY","10703","2714","WESTCHESTER" 
"STOP & SHOP  503",-73.902435,40.882191,"5716 Broadway","","Bronx","NY","10463","4104","BRONX" 
"La Javiela Meat Corp",-73.914619,40.782242,"2016 21st Ave","","Astoria","NY","11105","3551","QUEENS" 
"Liberty Farm Plus",-74.721054,41.784203,"1971 State Route 52","","Liberty","NY","12754","8313","SULLIVAN" 
"THE VIDEO STATION OF ALBION, INC",-78.202354,43.240807,"320 West Ave","","Albion","NY","14411","1523","ORLEANS" 
"USA MARKET",-75.925316,42.103378,"33 EDWARDS ST","","BINGHAMTON","NY","13905","","BROOME" 
